Name/ID,Vertical,Industry,Total BRR Currency, Total BRR ,Service Name,Number of Services,Bandwidth,,State A,State Z,Service Status,Term, Total MRR ,Vertical,Industry,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees, PriorYearRevenue , SalesVolume ,SmallBusiness
14417,Finance,Finance,USD," $ 1,007.00 ",230277,1,100Mb,DIA,MA,,Active,36," $ 1,007.00 ",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14438,Consulting / Other Professional Services,Professional Services,USD, $ 499.00 ,255084,2,N/A,Colocation,TX,TX,Active,12, $ 499.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14458,Healthcare,Healthcare,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Healthcare,Healthcare,0,0.499768,65," $ 7,490,707.78 "," $ 11,234,326.98 ",Y
14465,Consulting / Other Professional Services,Professional Services,USD," $ 1,325.00 ",244358,1,100Mb,DIA,VA,,Active,36," $ 1,325.35 ",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14472,Healthcare,Healthcare,USD," $ 1,057.00 ",221546,1,50Mb,DIA,CA,,Active,12," $ 1,057.35 ",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14482,Consulting / Other Professional Services,Professional Services,USD, $ 578.00 ,246674,2,N/A,Colocation,AZ,,Active,12, $ 577.50 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14543,Real Estate / Construction,Other Enterprise,USD, $ 561.00 ,237645,1,20Mb,DIA,CA,,Active,36, $ 560.73 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14567,Media,Media & Content,USD," $ 1,223.00 ",016366,2,DS1,Private Line,MN,MN,Active,24, $ 193.34 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14653,Asset Management / Hedge Fund,Finance,USD, $ 419.00 ,254538,3,,Colocation,TX,TX,Active,1, $ 419.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14693,Higher Education,Research & Education,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Higher Education,Research & Education,0,-0.01525,2000, $ -   ," $ 412,417,343.93 ",N
